"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"nvp-bez235","mTOR inhibitor, PI3K inhibitor","ATR, MTOR, PIK3CA, PIK3CD, PIK3CG","Phase 3","BRD-K12184916","mTOR inhibitor, PI3K inhibitor","mTOR inhibitor, PI3K inhibitor",NA
"nvp-bgj398","FGFR inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, KDR","Phase 3","BRD-K42728290","FGFR inhibitor","FGFR inhibitor",NA
"nvp-bgt226",NA,NA,NA,NA,NA,"PI3K inhibitor","PI3K inhibitor"
"nvp-tae226","protein tyrosine kinase inhibitor","PTK2","Preclinical","BRD-K21025364","protein tyrosine kinase inhibitor","protein tyrosine kinase inhibitor",NA
"nvp-tae684","ALK tyrosine kinase receptor inhibitor","ALK, INSR","Preclinical","BRD-K50140147","ALK tyrosine kinase receptor inhibitor","ALK tyrosine kinase receptor inhibitor",NA
"nylidrin hydrochloride",NA,NA,NA,NA,NA,NA,NA
"o-1918","cannabinoid receptor antagonist","","Preclinical","BRD-K18316707","cannabinoid receptor antagonist","cannabinoid receptor antagonist",NA
"o-2050",NA,NA,NA,"BRD-K02590140","Unknown","Unknown",NA
"o-3m3fbs","phospholipase activator","","Preclinical","BRD-K46384212","phospholipase activator","phospholipase activator",NA
"obaa",NA,NA,NA,"BRD-K85318537","Unknown","Unknown",NA
"odq","guanylyl cyclase inhibitor","GUCY1A2, GUCY1A3, GUCY1B3","Preclinical","BRD-K26015241","guanylyl cyclase inhibitor","guanylyl cyclase inhibitor",NA
"ofloxacin","bacterial DNA gyrase inhibitor","","Launched","BRD-A24228527","bacterial DNA gyrase inhibitor","bacterial DNA gyrase inhibitor",NA
"olaparib","PARP inhibitor","PARP1, PARP2","Launched","BRD-K02113016","PARP inhibitor","PARP inhibitor",NA
"oligomycin-c",NA,NA,NA,"BRD-K05350981","Unknown","Unknown",NA
"olmesartan-medoxomil","angiotensin receptor antagonist","AGTR1","Launched",NA,NA,"angiotensin receptor antagonist",NA
"olomoucine","CDK inhibitor","CDK1, CDK2, CDK5, MAPK1","Preclinical","BRD-K82731415","CDK inhibitor","CDK inhibitor",NA
"olopatadine hydrochloride","histamine receptor antagonist","HRH1, S100A1, S100A12, S100A13, S100A2, S100B","Launched","BRD-K67637637",NA,"histamine receptor antagonist",NA
"olvanil","TRPV agonist","CNR1, GPR119, TRPV1","Preclinical","BRD-K86958018","TRPV agonist","TRPV agonist",NA
"omdm-2","FAAH inhibitor","GPR119","Preclinical","BRD-A39522003","FAAH inhibitor","FAAH inhibitor",NA
"omeprazole","ATPase inhibitor","ATP4A, CLCN2","Launched","BRD-A55962179","ATPase inhibitor","ATPase inhibitor",NA
"ondansetron hydrochloride","serotonin receptor antagonist","HTR3A, HTR3B","Launched","BRD-A19736161","serotonin receptor antagonist","serotonin receptor antagonist",NA
"opipramol dihydrochloride","sigma receptor agonist","","Launched","BRD-K43786866","sigma receptor agonist","sigma receptor agonist",NA
"orlistat","lipase inhibitor","CNR1, DAGLA, DAGLB, FASN, LIPF, PNLIP","Launched","BRD-K63343048","lipase inhibitor","lipase inhibitor",NA
"ornidazole","antiprotozoal agent","","Launched","BRD-A42759514","antiprotozoal agent","antiprotozoal agent",NA
"orphenadrine hydrochloride","acetylcholine receptor antagonist","","Launched","BRD-A53576514","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"osi-027","mTOR inhibitor","MTOR","Phase 1","BRD-K94294671","mTOR inhibitor","mTOR inhibitor",NA
"osi-930","KIT inhibitor, VEGFR inhibitor","FLT1, KDR, KIT","Phase 1","BRD-K25340465","KIT inhibitor, VEGFR inhibitor","KIT inhibitor, VEGFR inhibitor",NA
"ossk 645668",NA,NA,NA,NA,NA,NA,NA
"ossk 645683",NA,NA,NA,NA,NA,NA,NA
"ossk 647368",NA,NA,NA,NA,NA,"Unknown","Unknown"
"otssp167",NA,NA,NA,"BRD-K53417444","maternal embryonic leucine zipper kinase inhibitor","maternal embryonic leucine zipper kinase inhibitor",NA
"ouabain","ATPase inhibitor","ATP1A1","Launched","BRD-A46747628",NA,"ATPase inhibitor",NA
"oxandrolone",NA,NA,NA,"BRD-K43544024","androgen receptor agonist","androgen receptor agonist",NA
"oxantel pamoate","anthelmintic agent","","Launched","BRD-M41106164",NA,"anthelmintic agent",NA
"oxaprozin","cyclooxygenase inhibitor","PTGS1, PTGS2","Launched","BRD-K25394294","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"oxfendazole","anthelmintic agent","","Launched","BRD-A33447119","anthelmintic agent","anthelmintic agent",NA
"oxibendazole","tubulin polymerization inhibitor","TUBB, TUBB4B","Launched","BRD-K52075715","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"oxiconazole","bacterial cell wall synthesis inhibitor","","Launched","BRD-K88538023","bacterial cell wall synthesis inhibitor","bacterial cell wall synthesis inhibitor",NA
"oxindole-i",NA,NA,NA,"BRD-K51816706","Unknown","Unknown",NA
"oxotremorine-sesquifumarate","cholinergic receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4","Preclinical",NA,NA,"cholinergic receptor agonist",NA
"oxprenolol hydrochloride","adrenergic receptor antagonist","ADRB1","Launched","BRD-A43671941","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"oxybenzone","lipase inhibitor","LIPE","Launched","BRD-K59037100","lipase inhibitor","lipase inhibitor",NA
"oxybutynin","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3","Launched","BRD-A65013509","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"oxymetazoline hydrochloride","adrenergic receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1B, HTR1D, HTR2C","Launched","BRD-K16195444","adrenergic receptor agonist","adrenergic receptor agonist",NA
"oxymetholone",NA,NA,NA,"BRD-A23637604",NA,NA,NA
"ozagrel hydrochloride","thromboxane synthase inhibitor","TBXAS1","Launched","BRD-K19525698",NA,"thromboxane synthase inhibitor",NA
"p0030",NA,NA,NA,NA,NA,NA,NA
"p1075",NA,NA,NA,NA,NA,NA,NA
"p233",NA,NA,NA,NA,NA,NA,NA
"p5172",NA,NA,NA,NA,NA,NA,NA
"p8624",NA,NA,NA,NA,NA,NA,NA
"pac-1","caspase activator","CASP3","Phase 1","BRD-K92991072","caspase activator","caspase activator",NA
"paclitaxel","tubulin polymerization inhibitor","BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","Launched","BRD-A23723433",NA,"tubulin polymerization inhibitor",NA
"palbociclib","CDK inhibitor","CDK4, CDK6","Launched","BRD-K51313569","CDK inhibitor","CDK inhibitor",NA
"palda",NA,NA,NA,NA,NA,NA,NA
"pantoprazole","ATPase inhibitor","ATP4A","Launched","BRD-A22380646","ATPase inhibitor","ATPase inhibitor",NA
"papaverine hydrochloride","phosphodiesterase inhibitor","PDE10A, PDE4B, PDE5A","Launched","BRD-K15567136","phosphodiesterase inhibitor","phosphodiesterase inhibitor",NA
"parbendazole","tubulin polymerization inhibitor","TUBB","Preclinical","BRD-K02407574","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"paroxetine","selective serotonin reuptake inhibitor (SSRI)","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2, SLC6A4","Launched","BRD-K19277754","selective serotonin reuptake inhibitor (SSRI)","selective serotonin reuptake inhibitor (SSRI)",NA
"paroxetine hydrochloride","selective serotonin reuptake inhibitor (SSRI)","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2, SLC6A4","Launched","BRD-K37991163",NA,"selective serotonin reuptake inhibitor (SSRI)",NA
"parthenolide","NFkB pathway inhibitor","","Phase 1","BRD-K04949373",NA,"NFkB pathway inhibitor",NA
"paxilline",NA,NA,NA,"BRD-K38251852","Unknown","Unknown",NA
"pazopanib","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1R, FGF1, FGFR1, FGFR3, FLT1, FLT4, ITK, KDR, KIT, PDGFRA, PDGFRB, SH2B3","Launched","BRD-K74514084","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",NA
"pca-4248","platelet activating factor receptor antagonist","PTAFR","Phase 1","BRD-A29289453","platelet activating factor receptor antagonist","platelet activating factor receptor antagonist",NA
"pd-0325901","MEK inhibitor","MAP2K1","Phase 2","BRD-A50454580",NA,"MEK inhibitor",NA
"pd-102807","acetylcholine receptor antagonist","CHRM4","Preclinical","BRD-A89337244","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"pd-158780","EGFR inhibitor","EGFR","Preclinical","BRD-K48735772","EGFR inhibitor","EGFR inhibitor",NA
"pd-160170","neuropeptide receptor antagonist","NPY1R","Preclinical","BRD-K12079898","neuropeptide receptor antagonist","neuropeptide receptor antagonist",NA
"pd-166793","collagenase inhibitor, metalloproteinase inhibitor","MMP13, MMP2, MMP3","Preclinical","BRD-A75478957","collagenase inhibitor, metalloproteinase inhibitor","collagenase inhibitor, metalloproteinase inhibitor",NA
"pd-169316",NA,NA,NA,"BRD-K77133231","Unknown","Unknown",NA
"pd-173074","FGFR inhibitor, VEGFR inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB","Preclinical","BRD-K97764662","FGFR inhibitor, VEGFR inhibitor","FGFR inhibitor, VEGFR inhibitor",NA
"pd-184352","MEK inhibitor","MAP2K1, MAP3K1, MAP3K2","Phase 2","BRD-K05104363","MEK inhibitor","MEK inhibitor",NA
"pd-198306","MAP kinase inhibitor, MEK inhibitor","MAP2K1, MAP2K2","Preclinical","BRD-K88677950","MAP kinase inhibitor, MEK inhibitor","MAP kinase inhibitor, MEK inhibitor",NA
"pd-407824","PKC inhibitor","WEE1","Preclinical",NA,NA,"PKC inhibitor",NA
"pd-98059","MEK inhibitor","AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1","Preclinical","BRD-K62810658","MEK inhibitor","MEK inhibitor",NA
"pd 00735",NA,NA,NA,NA,NA,NA,NA
"pd 123319 ditrifluoroacetate","angiotensin antagonist","AGTR2","Phase 1","BRD-A63836183","angiotensin antagonist","angiotensin antagonist",NA
"pelitinib","EGFR inhibitor","EGFR","Phase 2","BRD-K08799216","EGFR inhibitor","EGFR inhibitor",NA
"pemoline",NA,NA,NA,"BRD-A80793822","Unknown","Unknown",NA
"penfluridol","T-type calcium channel blocker","CACNA1G","Launched","BRD-K15409150","T-type calcium channel blocker","T-type calcium channel blocker",NA
"penicillic-acid",NA,NA,NA,"BRD-A43150328","Unknown","Unknown",NA
"penicillin g potassium",NA,NA,NA,"BRD-K48519456",NA,"antibiotic","antibiotic"
"penicillin v",NA,NA,NA,"BRD-K48519456",NA,NA,NA
"penitrem-a",NA,NA,NA,"BRD-K03842655",NA,"calcium channel blocker","calcium channel blocker"
"pentetic-acid","chelating agent","","Phase 2","BRD-K40621224","chelating agent","chelating agent",NA
"pentobarbital",NA,NA,NA,"BRD-A44448661","barbiturate antiepileptic, GABA receptor modulator","barbiturate antiepileptic, GABA receptor modulator",NA
"pentylenetetrazole",NA,NA,NA,NA,NA,NA,NA
"pepstatin a","aspartic protease inhibitor","CTSB, CTSD, CTSL, REN","Preclinical","BRD-K13571841","aspartic protease inhibitor","aspartic protease inhibitor",NA
"pergolide mesylate","dopamine receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C","Withdrawn","BRD-K60770992","dopamine receptor agonist","dopamine receptor agonist",NA
"perhexiline maleate","carnitine palmitoyltransferase inhibitor","CPT1A","Launched","BRD-A19633847","carnitine palmitoyltransferase inhibitor","carnitine palmitoyltransferase inhibitor",NA
"perindopril erbumine","angiotensin converting enzyme inhibitor","ACE","Launched","BRD-K92731339",NA,"angiotensin converting enzyme inhibitor",NA
"periplocymarin",NA,NA,NA,"BRD-A45333398","Unknown","Unknown",NA
"perphenazine","dopamine receptor antagonist","CALM1, DRD1, DRD2, HRH1, HTR2A, HTR2C, HTR6, HTR7","Launched","BRD-K10995081","dopamine receptor antagonist","dopamine receptor antagonist",NA
"peucedanin",NA,NA,NA,"BRD-K72034655","Unknown","Unknown",NA
"pevonedistat","nedd activating enzyme inhibitor","NAE1, UBA3","Phase 3",NA,NA,"nedd activating enzyme inhibitor","NEDD8 inhibitor"
"pf-04217903","c-Met inhibitor","MET","Phase 1","BRD-K73319509","c-Met inhibitor","c-Met inhibitor",NA
"pf-3758309",NA,NA,NA,NA,NA,"PAK inhibitor","PAK inhibitor"
"pf-3845","FAAH inhibitor","FAAH","Preclinical","BRD-K68997413","FAAH inhibitor","FAAH inhibitor",NA
"pf-431396","focal adhesion kinase inhibitor","PTK2, PTK2B","Preclinical","BRD-K93788137","Unknown","focal adhesion kinase inhibitor",NA
"pf-477736","CHK inhibitor","CHEK1, CHEK2","Phase 1","BRD-K03063480","CHK inhibitor","CHK inhibitor",NA
"pf-562271","focal adhesion kinase inhibitor","PTK2, PTK2B","Phase 1","BRD-K99545815","focal adhesion kinase inhibitor","focal adhesion kinase inhibitor",NA
"pf-573228","focal adhesion kinase inhibitor","CDK1, CDK2, CDK7, GSK3B, IKBKB","Preclinical",NA,NA,"focal adhesion kinase inhibitor",NA
"pf-750","FAAH inhibitor","FAAH","Preclinical","BRD-K83213911","Unknown","FAAH inhibitor",NA
"pfi-1","bromodomain inhibitor","BRD4","Preclinical","BRD-K13094524","bromodomain inhibitor","bromodomain inhibitor",NA
"pha-665752","c-Met inhibitor","MET","Preclinical","BRD-K95435023","c-Met inhibitor","c-Met inhibitor",NA
"pha-767491","CDC inhibitor","CDK1, RPS6KB1","Preclinical","BRD-K50000283","CDC inhibitor","CDC inhibitor",NA
"pha-793887","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK7, CDK9","Phase 1","BRD-K64800655","CDK inhibitor","CDK inhibitor",NA
"pha 665752","c-Met inhibitor","MET","Preclinical","BRD-K95435023","c-Met inhibitor","c-Met inhibitor",NA
"phccc","glutamate receptor agonist","GRM1, GRM4","Preclinical","BRD-A48257147","glutamate receptor agonist","glutamate receptor agonist",NA
"phenamil",NA,NA,NA,"BRD-K21350491","Unknown","Unknown",NA
"phenazopyridine hydrochloride","local anesthetic","SCN1A","Launched","BRD-K76304753","local anesthetic","local anesthetic",NA
"phenelzine sulfate","monoamine oxidase inhibitor","ABAT, AOC3, GAD2, GPT, GPT2, MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4","Launched","BRD-K87024524","monoamine oxidase inhibitor","monoamine oxidase inhibitor",NA
"phenethyl-isothiocyanate","anticancer agent","CYP2E1","Phase 2","BRD-K56700933",NA,"anticancer agent",NA
"phenformin hydrochloride","AMPK activator","KCNJ8, PRKAA1","Withdrawn","BRD-K11399644","AMPK activator","AMPK activator",NA
"pheniramine maleate","histamine receptor antagonist","HRH1","Launched","BRD-A23072235","histamine receptor antagonist","histamine receptor antagonist",NA
"phenolphthalein","indicator dye","UGT1A9","Withdrawn","BRD-K19227686","indicator dye","indicator dye",NA
"phenothiazine","dopamine receptor antagonist","","Preclinical","BRD-K01160827",NA,"dopamine receptor antagonist",NA
"phenoxazine",NA,NA,NA,"BRD-K53595844","Unknown","Unknown",NA
"phensuximide","succinimide antiepileptic","","Launched","BRD-A18043272","succinimide antiepileptic","succinimide antiepileptic",NA
"phentolamine hydrochloride","adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C","Launched","BRD-K21317336",NA,"adrenergic receptor antagonist",NA
"phorbol-12-myristate-13-acetate (pma)",NA,NA,NA,"BRD-A15079084","Unknown","PKC activator","PKC activator"
"phosphodiesterase-v-inhibitor-ii",NA,NA,NA,"BRD-K68873215","Unknown","Unknown",NA
"phtpp","estrogen receptor antagonist","ESR2","Preclinical","BRD-K76568384","estrogen receptor antagonist","estrogen receptor antagonist",NA
"phylloquinone",NA,NA,NA,"BRD-A55815733","Unknown","Unknown",NA
"physostigmine salicylate","acetylcholinesterase inhibitor, cholinesterase inhibitor","ACHE, BCHE","Launched","BRD-A37052580",NA,"acetylcholinesterase inhibitor, cholinesterase inhibitor",NA
"pi-103","mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC","Preclinical","BRD-K67868012","mTOR inhibitor, PI3K inhibitor","mTOR inhibitor, PI3K inhibitor",NA
"pi-828","PI3K inhibitor","","Preclinical","BRD-K97365803","PI3K inhibitor","PI3K inhibitor",NA
"pi 103 hydrochloride","mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC","Preclinical","BRD-K67868012","mTOR inhibitor, PI3K inhibitor","mTOR inhibitor, PI3K inhibitor",NA
"piceatannol","SYK inhibitor","ATP5A1, ATP5B, ATP5C1, IRF3","Preclinical","BRD-K26241953","SYK inhibitor","SYK inhibitor",NA
"picotamide monohydrate","thromboxane receptor antagonist, thromboxane synthase inhibitor","TBXA2R","Launched","BRD-K67277431","thromboxane receptor antagonist, thromboxane synthase inhibitor","thromboxane receptor antagonist, thromboxane synthase inhibitor",NA
"picrotoxinin","GABA receptor antagonist","GLRA1, GLRA2, GLRA3, GLRB, HTR3A, HTR3B","Preclinical",NA,NA,"GABA receptor antagonist",NA
"pifithrin-alpha hydrobromide","TP53 inhibitor","TP53","Preclinical","BRD-K66874953","TP53 inhibitor","TP53 inhibitor","TP53 inhibitor"
"pifithrin-mu","HSP inhibitor","HSPA1A, TP53","Preclinical","BRD-K96799727","HSP inhibitor","HSP inhibitor","HSP inhibitor"
"pik-90",NA,NA,NA,"BRD-K99818283","Unknown","PI3K inhibitor","PI3K inhibitor"
"pik-93","PI3K inhibitor","PI4KB, PIK3C3, PIK3CG","Preclinical","BRD-K29395450","PI3K inhibitor","PI3K inhibitor",NA
"pilaralisib","PI3K inhibitor","","Phase 2",NA,NA,"PI3K inhibitor","PI3K inhibitor"
"pimozide","dopamine receptor antagonist","CACNA1I, CALM1, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, KCNA10, KCNH2","Launched","BRD-K01292756","dopamine receptor antagonist","dopamine receptor antagonist",NA
"pinacidil","ATP channel activator, potassium channel activator","ABCC8, ABCC9","Launched","BRD-A58207013",NA,"ATP channel activator, potassium channel activator",NA
"pindolol","adrenergic receptor antagonist","ADRB1, ADRB2, HTR1A, HTR2A, HTR2B","Launched","BRD-A97701745","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"pioglitazone hydrochloride","insulin sensitizer, PPAR receptor agonist","PPARG, TRPM3","Launched","BRD-A48430263","insulin sensitizer, PPAR receptor agonist","insulin sensitizer, PPAR receptor agonist",NA
"pipamperone","dopamine receptor antagonist","DRD2, HRH1, HTR1A, HTR1B, HTR1D, HTR2A","Launched","BRD-K26801045","dopamine receptor antagonist","dopamine receptor antagonist",NA
"piperacetazine","dopamine receptor antagonist","","Launched","BRD-K16277217","dopamine receptor antagonist","dopamine receptor antagonist",NA
"piperacillin","bacterial cell wall synthesis inhibitor","","Launched","BRD-K39397585",NA,"bacterial cell wall synthesis inhibitor",NA
"piplartine",NA,NA,NA,NA,NA,"Unknown","Unknown"
"pirenperone","serotonin receptor antagonist","HTR2A, HTR7","Preclinical","BRD-K25224017","serotonin receptor antagonist","serotonin receptor antagonist",NA
"pirenzepine dihydrochloride","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5","Launched","BRD-K89375097","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"piretanide","glucocorticoid receptor agonist","SLC12A1, SLC12A2","Launched","BRD-K87990216","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"pirfenidone","TGF beta receptor inhibitor","FURIN, TNF","Launched","BRD-K96862998","TGF beta receptor inhibitor","TGF beta receptor inhibitor",NA
"piribedil dihydrochloride","dopamine receptor agonist","ADRA1A, ADRA2A, ADRA2C, DRD2, DRD3, DRD4, HTR1A, HTR2B","Launched","BRD-K47936004","dopamine receptor agonist","dopamine receptor agonist",NA
"piroxicam","cyclooxygenase inhibitor","PTGS1, PTGS2","Launched","BRD-A57382968","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"pit","purinergic receptor antagonist","P2RY1","Preclinical","BRD-K43978949","purinergic receptor antagonist","purinergic receptor antagonist",NA
"pivmecillinam hydrochloride","bacterial cell wall synthesis inhibitor","","Launched","BRD-K54978501","bacterial cell wall synthesis inhibitor","bacterial cell wall synthesis inhibitor",NA
"pizotyline malate",NA,NA,NA,NA,NA,NA,NA
"pj 34 hydrochloride","PARP inhibitor","EEF2, PARP1, PARP15, PARP3","Preclinical","BRD-K11853856","PARP inhibitor","PARP inhibitor",NA
"pkc-412",NA,NA,NA,NA,NA,NA,NA
"pkcbeta-inhibitor",NA,NA,NA,"BRD-K89687904","Unknown","Unknown",NA
"plx-4720",NA,NA,NA,"BRD-K16478699","RAF inhibitor","RAF inhibitor",NA
"pnu-74654","beta-catenin inhibitor","CTNNB1, TCF4","Preclinical","BRD-K30707190","beta-catenin inhibitor","beta-catenin inhibitor","beta-catenin inhibitor"
"pnu-96415e",NA,NA,NA,"BRD-A95096829","Unknown","Unknown",NA
"podofilox",NA,NA,NA,NA,NA,NA,NA
"podophyllotoxin","microtubule inhibitor, tubulin polymerization inhibitor","IGF1R, TOP2A, TUBA4A, TUBB","Launched","BRD-K60507178",NA,"microtubule inhibitor, tubulin polymerization inhibitor",NA
"ponatinib","Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor","ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK","Launched","BRD-K44227013","Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor","Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",NA
"pp-1","SRC inhibitor","HCK, RET","Preclinical","BRD-K47598052","src inhibitor","SRC inhibitor",NA
"pp-110",NA,NA,NA,"BRD-K03618428","Unknown","multi-kinase inhibitor","multi-kinase inhibitor"
"pp-2","SRC inhibitor","ABL1, LCK, RIPK2, SRC","Preclinical","BRD-K95785537","src inhibitor","SRC inhibitor",NA
"pp-30",NA,NA,NA,"BRD-K30677119","Unknown","Unknown",NA
"pp3",NA,NA,NA,NA,NA,"non-functional Src inhibitor analog","non-functional Src inhibitor analog"
"ppt","estrogen receptor agonist","ESR1","Preclinical","BRD-K00312224","estrogen receptor agonist","estrogen receptor agonist",NA
"pq-401","IGF-1 inhibitor","IGF1R","Preclinical","BRD-K67537649","IGF-1 inhibitor","IGF-1 inhibitor",NA
"pracinostat",NA,NA,NA,"BRD-K86797399","HDAC inhibitor","HDAC inhibitor",NA
"practolol","adrenergic receptor antagonist","ADRB1","Withdrawn","BRD-A41304429","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"pravastatin sodium","HMGCR inhibitor","HMGCR, SLCO1B1","Launched","BRD-K25841245",NA,"HMGCR inhibitor",NA
"pravastatin sodium salt","HMGCR inhibitor","HMGCR, SLCO1B1","Launched","BRD-K25841245",NA,"HMGCR inhibitor",NA
"praziquantel","anthelmintic agent","","Launched","BRD-A21858158","anthelmintic agent","anthelmintic agent",NA
"prazosin hydrochloride","adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, KCNH2, KCNH6, KCNH7","Launched","BRD-K49111258","adrenergic receptor antagonist","adrenergic receptor antagonist",NA
"pre-084 hydrochloride","sigma receptor agonist","SIGMAR1","Preclinical","BRD-K57304726","sigma receptor agonist","sigma receptor agonist",NA
"prednicarbate","phospholipase activator","PLA2G1B","Launched","BRD-K95391106","phospholipase activator","phospholipase activator",NA
"prednisolone","glucocorticoid receptor agonist","NR3C1, NR3C2, SERPINA6","Launched","BRD-A78391468",NA,"glucocorticoid receptor agonist",NA
"prednisolone-acetate","glucocorticoid receptor agonist","NR3C1","Launched",NA,NA,"glucocorticoid receptor agonist",NA
"prednisolone-hemisuccinate","glucocorticoid receptor agonist","NR3C1","Preclinical",NA,NA,"glucocorticoid receptor agonist",NA
"pregnenolone-succinate","GABA receptor negative allosteric modulator","CYP17A1","Preclinical",NA,NA,"GABA receptor negative allosteric modulator",NA
"prenylamine lactate","calcium channel blocker","","Withdrawn","BRD-A10662413","calcium channel blocker","calcium channel blocker",NA
"prestw-550",NA,NA,NA,NA,NA,NA,NA
"prima-1-met",NA,NA,NA,"BRD-K49456190","Unknown","Unknown",NA
"primaquine diphosphate","antimalarial agent, DNA inhibitor","","Launched","BRD-A55913614","antimalarial agent, DNA inhibitor","antimalarial agent, DNA inhibitor",NA
"primidone","GABA receptor antagonist","CHRNA4, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Launched","BRD-K32247306","GABA receptor antagonist","GABA receptor antagonist",NA
"priscoline",NA,NA,NA,NA,NA,NA,NA
"prl-3-inhibitor-i",NA,NA,NA,"BRD-K09907482","Unknown","Unknown",NA
"proadifen hydrochloride","nitric oxide synthase inhibitor","NOS1","Preclinical","BRD-K46317332","nitric oxide synthase inhibitor","nitric oxide synthase inhibitor",NA
"probenecid","uricosuric blocker","PANX1, SLC22A11, SLC22A6, SLC22A8, SLCO1C1","Launched","BRD-K95237249","uricosuric blocker","uricosuric blocker",NA
"probucol","atherogenesis inhibitor","ABCA1, ABCB11, CES1","Launched","BRD-K72029282","atherogenesis inhibitor","atherogenesis inhibitor",NA
"procarbazine hydrochloride","monoamine oxidase inhibitor","","Launched","BRD-K13032584","monoamine oxidase inhibitor","monoamine oxidase inhibitor",NA
"procaterol hydrochloride","adrenergic receptor agonist","ADRB2","Launched","BRD-A22684332","adrenergic receptor agonist","adrenergic receptor agonist",NA
"prochlorperazine edisylate","dopamine receptor antagonist","DRD1, DRD2, DRD3, DRD4","Launched","BRD-K19352500","dopamine receptor antagonist","dopamine receptor antagonist",NA
"progesterone","progesterone receptor agonist","CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP17A1, ESR1, NR3C2, OPRK1, PGR, TRPC5","Launched","BRD-A67479912","progesterone receptor agonist","progesterone receptor agonist",NA
"proglumide","CCK receptor antagonist","CCKAR, CCKBR","Withdrawn","BRD-A44863528","CCK receptor antagonist","CCK receptor antagonist",NA
"promazine hydrochloride","dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, HRH1, HTR2A, HTR2C","Launched","BRD-K06980535","dopamine receptor antagonist","dopamine receptor antagonist",NA
"pronethalol hydrochloride","adrenergic receptor antagonist","","Withdrawn",NA,NA,"adrenergic receptor antagonist",NA
